City,Province,City Population,Notes
Aksu,,660000,
Altay,,199037,
Anqing,,5311379,
Anshan,,3645884,
Anshun,,2297339,
Arxan,,68300,
Baise,,3826300,
Baishan,,1296575,
Baoshan,,2506491,
Baotou,,2650364,
Bayannur,,1669915,
Beihai,,1539300,
Beijing,,21542000,
Bijie,,6536370,
Bole/Alashankou/Shuanghe,,200200, Bole: 106400 Alashankou: 40000 Shuanghe: 53800
Changchun,,7674439,
Changde,,5714623,
Changsha,,7431800,
Changzhi,,3234100,
Changzhou,,4592431,
Chaoyang,,3044641,
Chengdu,,14427500,
Chifeng,,4341245,
Chongqing,,30484300,
Dali,,652045,
Dalian,,6690432,
Dandong,,2444697,
Daocheng,,31113,
Daqing,,2904532,
Datong,,3318057,
Dazhou,,5468097,
Dongying,,2035338,
Dunhuang,,186027,
Enshi,,749574,
Erenhot,,74197,
Foshan,,7197394,
Fuyang,,7599913,
Fuyun,,80000,
Fuzhou,,7660000,
Ganzhou,,8368447,
Golmud,,186341,
Guangyuan,,2484123,
Guangzhou,,14904400,
Guilin,,4747963,
Guiyang,,4696800,
Guyuan,,1455200,
Haikou,,2046189,
"Hailar, Hulunbuir",,256000,
Hami,,580000,
Handan,,9433000,
Hangzhou,,9806000,
Hanzhong,,3700000,
Harbin,,10635971,
Hefei,,7965300,
Heihe,,1673898,
Hengyang,,7141462,
Hohhot,,2866615,
Hotan,,322330,
Huai'an,,4799889,
Huaihua,,5000000,
Huangshan,,1470000,
Huizhou,,4598402,
Ji'an,,4810339,
Jiagedaqi,,156000,
Jiamusi,,2333311,
Jiayuguan/Jiuquan,,1327800,Jiayuguan: 231853 Jiuquan:1095947
Jinan,,8700000,
Jinchang,,464050,
Jingdezhen,,1554000,
"Jinghong, Xishuangbanna",,519935,
Jining/Qufu,,8731905,Jining: 8081905 Qufu: 650000
Jinzhou,,3070000,
Jiuzhaigou/Songpan,,68972,Jiuzhaigou:1000 Songpan: 67972 
Jixi,,1862165,
Kangding,,134063,
Karamay,,401468,
Kashgar,,506640,
Korla,,770000,
Künes,,290000,
Kunming,,6626000,
Kuqa,,450000,
Lanzhou,,3616163,
Lhasa/Shannan,,609174,Lhasa: 279074 Shannan: 330100
"Liancheng, Longyan",,8381,
Lianyungang,,4393914,
Libo,,144849,
Lijiang,,1244769,
Lincang,,2429505,
Linyi,,10039440,
Liping,,538294,
Liuzhou,,3758700,
Luoyang,,6549941,
Luzhou,,4218427,
"Mang City, Dehong",,410426,
Manzhouli,,212000,
Meizhou,,4328461,
Mianyang,,4613871,
Mohe,,83465,
Mudanjiang,,2798723,
Nanchang,,5042565,
Nanchong,,6278614,
Nanjing,,8335000,
Nanning,,7254100,
Nantong,,7282835,
Nanyang,,11942300,
Ningbo,,8202000,
Nyingchi,,195109,
Ordos,,2035653,
Panzhihua,,1214121,
Pu'er,,2542898,
Qamdo,,657505,
Qianjiang,,998525,
Qiemo,,65572,
Qingdao,,9046200,
Qingyang,,2211191,
Qinhuangdao,,2897605,
Qiqihar,,5367003,
Quanzhou,,8128530,
Quzhou,,2578100,
Rizhao,,2801100,
Sanming,,2503388,
Sanya,,685408,
Shanghai,,24237800,
"Shangri-La, Dêqên",,130000,
Shantou/Jieyang/Chaozhou,,13936197,Shantou: 5389328 Jieyang: 5877025 Chaozhou: 2669844
Shenyang,,8294171,
Shenzhen,,12528300,
Shigatse,,703292,
Shihezi,,640000,
Shijiazhuang,,10784600,
"Shiquanhe, Ngari",,10282,
Tacheng,,160000,
Taiyuan,,4201591,
Taizhou,,5968838,
Tangshan,,7536521,
Tengchong,,620000,
Tianjin,,15621200,
Tianshui,,3262548,
Tonghua,,2325242,
Tongliao,,3139153,
Tongren,,380000,
Turpan,,632000,
Ulanhot,,344000,
Ürümqi,,3519600,
Wanzhou,,1753500,
Weifang,,9086241,
Weihai,,2804771,
Wenshan,,3372000,
Wenzhou,,9190000,
Wuhai,,631000,
Wuhan,,11081000,
Wuxi/Suzhou,,17274700,Wuxi: 6553000 Suzhou: 10721700
"Wuyishan, Nanping",,3212600,
Wuzhou,,3273300,
Xi'an/Xianyang,,17096601,Xi'an: 12000600 Xianyang: 5096001
"Xiahe/Hezuo, Gannan",,220000,"Xiahe: 130000 Heuzuo,Gannan: 90000"
Xiamen,,3531347,
Xiangyang,,5500307,
Xichang,,481796,
Xilinhot,,245886,
Xingyi,,784032,
Xining/Haidong,,3605554,Xining: 2208708 Haidong: 1396846
Xuzhou,,8577225,
Yan'an,,2150800,
Yancheng,,7200000,
Yangzhou/Taizhou,,6522038,Yangzhou: 553200 Taizhou: 5968838
Yanji,,639000,
Yantai,,6968202,
Yibin,,4471896,
Yichang,,4059686,
Yichun,,5419575,
Yinchuan,,1993088,
Yining,,542507,
"Yiwu, Jinhua",,1234015,
Yongzhou,,5180200,
Yulin,,5756000,
Yuncheng,,5134779,
Yushu,,77854,
Zhangjiajie,,1476521,
Zhangye,,1199515,
Zhanjiang,,6994832,
Zhaotong,,5459000,
Zhengzhou,,10120000,
Zhongwei,,1041821,
Zhoushan/Putuoshan,,1162411,Zhoushan: 1152000 Putuoshan:10411
Zhuhai,,1562530,
Zunyi,,6127009,